TicketID,AgentID,CustomerID,Status,ResolutionTime,Priority,Category,CreatedDate,ResolvedDate
T10001,A004,C3154,Pending,1h 51m 20s,High,Billing,2026-01-01 09:21:00,
T10002,A002,C3083,Pending,0h 21m 29s,High,General,2026-01-01 09:05:00,
T10003,A024,C1095,Resolved,1h 30m 20s,Medium,Technical,2026-01-01 09:02:00,2026-01-01 10:02:00
T10004,A039,C1626,Pending,0h 52m 30s,Low,Account,2026-01-01 09:10:00,
T10005,A026,C5309,Open,1h 11m 45s,High,Billing,2026-01-01 09:43:00,
T10006,A021,C2667,Pending,1h 52m 20s,High,Billing,2026-01-01 09:59:00,
T10007,A032,C6928,Open,0h 3m 45s,Low,Account,2026-01-01 09:28:00,
T10008,A011,C1486,Resolved,1h 49m 20s,High,Billing,2026-01-01 09:40:00,2026-01-01 10:36:00
T10009,A041,C3490,Resolved,0h 3m 0s,Medium,General,2026-01-01 09:31:00,2026-01-01 10:39:00
T10010,A014,C1427,Pending,1h 26m 0s,High,Technical,2026-01-01 09:53:00,
T10011,A046,C7865,Pending,0h 23m 0s,Low,Billing,2026-01-01 09:12:00,
T10012,A012,C9508,Open,1h 53m 45s,Medium,Account,2026-01-01 09:03:00,
T10013,A014,C7851,Resolved,1h 19m 29s,Low,Billing,2026-01-01 09:41:00,2026-01-01 10:37:00
T10014,A009,C8483,Open,0h 51m 30s,High,General,2026-01-01 09:26:00,
T10015,A040,C5092,Resolved,1h 22m 0s,Low,Technical,2026-01-01 09:16:00,2026-01-01 10:51:00
T10016,A008,C4981,Resolved,1h 33m 45s,High,Billing,2026-01-01 09:41:00,2026-01-01 10:49:00
T10017,A005,C9530,Resolved,1h 48m 45s,Low,General,2026-01-01 09:36:00,2026-01-01 10:45:00
T10018,A048,C1451,Resolved,1h 28m 29s,High,Account,2026-01-01 09:53:00,2026-01-01 10:20:00
T10019,A023,C4156,Resolved,1h 47m 0s,Medium,General,2026-01-01 09:31:00,2026-01-01 10:17:00
T10020,A015,C8232,Open,0h 38m 20s,High,Account,2026-01-01 09:35:00,
T10021,A006,C5956,Pending,1h 11m 0s,Medium,Account,2026-01-01 09:11:00,
T10022,A013,C5882,Open,1h 10m 45s,Low,Account,2026-01-01 09:47:00,
T10023,A008,C1875,Resolved,1h 27m 30s,Low,Account,2026-01-01 09:55:00,2026-01-01 10:39:00
T10024,A044,C5314,Pending,0h 57m 0s,High,General,2026-01-01 09:17:00,
T10025,A002,C5832,Open,0h 11m 29s,Low,Account,2026-01-01 09:27:00,
T10026,A042,C1833,Pending,1h 46m 29s,High,General,2026-01-01 09:43:00,
T10027,A009,C3559,Resolved,1h 34m 29s,Low,Billing,2026-01-01 09:54:00,2026-01-01 10:29:00
T10028,A028,C3713,Resolved,0h 34m 30s,Medium,Technical,2026-01-01 09:09:00,2026-01-01 10:09:00
T10029,A031,C4873,Resolved,1h 33m 45s,Medium,General,2026-01-01 09:14:00,2026-01-01 10:20:00
T10030,A007,C4670,Open,0h 28m 45s,High,General,2026-01-01 09:13:00,
T10031,A041,C8214,Resolved,0h 56m 30s,Low,Billing,2026-01-01 09:11:00,2026-01-01 10:01:00
T10032,A049,C7238,Resolved,1h 17m 29s,Low,Account,2026-01-01 09:12:00,2026-01-01 10:40:00
T10033,A028,C2602,Resolved,0h 37m 20s,Low,Technical,2026-01-01 09:50:00,2026-01-01 10:56:00
T10034,A015,C1150,Resolved,1h 34m 0s,High,Account,2026-01-01 09:00:00,2026-01-01 10:40:00
T10035,A008,C8520,Resolved,0h 17m 45s,Low,General,2026-01-01 09:56:00,2026-01-01 10:15:00
T10036,A031,C8014,Resolved,1h 32m 29s,Medium,General,2026-01-01 09:40:00,2026-01-01 10:43:00
T10037,A038,C9690,Pending,1h 51m 20s,Low,Account,2026-01-01 09:08:00,
